#group,false,false,false,false,false
#datatype,double,double,string,double,dateTime:RFC3339
#default,,,,,
,humidity,light,node_id,temperature,time
,52.8,121,smart_art_1,15.7,2025-12-14T20:58:23.398799Z
,55.1,126,smart_art_1,15.2,2025-12-14T21:03:23.410455Z
,57.2,142,smart_art_1,16.8,2025-12-14T21:08:23.350446Z
,54.8,153,smart_art_1,17.6,2025-12-14T21:13:23.460595Z
,55,142,smart_art_1,18.1,2025-12-14T21:18:23.388515Z
,55.3,144,smart_art_1,18.3,2025-12-14T21:23:23.36025Z
,55.7,151,smart_art_1,18.4,2025-12-14T21:28:23.43775Z
,56.2,146,smart_art_1,18.5,2025-12-14T21:33:23.327628Z
,56.7,142,smart_art_1,18.6,2025-12-14T21:38:23.391746Z
,57.1,159,smart_art_1,18.7,2025-12-14T21:43:23.421339Z
,57.4,159,smart_art_1,18.8,2025-12-14T21:48:23.321495Z
,57.8,110,smart_art_1,18.8,2025-12-14T21:53:23.365089Z
,58.3,131,smart_art_1,18.8,2025-12-14T21:58:23.39738Z
,58.6,131,smart_art_1,18.8,2025-12-14T22:03:23.423317Z
,58.8,151,smart_art_1,18.9,2025-12-14T22:08:23.305179Z
,70.3,0,smart_art_1,19.5,2025-12-13T00:02:58.887024Z
,70.4,0,smart_art_1,19.5,2025-12-13T00:07:58.881463Z
,70.5,0,smart_art_1,19.5,2025-12-13T00:12:58.879853Z
,70.7,0,smart_art_1,19.5,2025-12-13T00:17:58.875448Z
,70.7,0,smart_art_1,19.4,2025-12-13T00:22:58.863108Z
,70.9,0,smart_art_1,19.4,2025-12-13T00:28:21.472759Z
,70.9,0,smart_art_1,19.4,2025-12-13T00:33:21.466584Z
,71.1,0,smart_art_1,19.3,2025-12-13T00:38:21.459193Z
,71.2,0,smart_art_1,19.3,2025-12-13T00:43:21.450918Z
,71.4,0,smart_art_1,19.3,2025-12-13T00:48:21.449597Z
,71.5,0,smart_art_1,19.2,2025-12-13T00:53:21.441474Z
,71.6,0,smart_art_1,19.2,2025-12-13T00:58:21.435981Z
,71.8,0,smart_art_1,19.2,2025-12-13T01:03:21.436425Z
,71.8,0,smart_art_1,19.2,2025-12-13T01:08:21.426011Z
,72,0,smart_art_1,19.1,2025-12-13T01:13:21.423748Z
,72,0,smart_art_1,19.2,2025-12-13T01:18:21.41634Z
,72.2,0,smart_art_1,19.1,2025-12-13T01:23:21.405378Z
,72.1,0,smart_art_1,19.1,2025-12-13T01:28:28.299391Z
,72.3,0,smart_art_1,19.1,2025-12-13T01:33:28.299682Z
,72.3,0,smart_art_1,19.1,2025-12-13T01:38:28.29298Z
,72.5,0,smart_art_1,19.1,2025-12-13T01:43:28.282308Z
,72.5,0,smart_art_1,19,2025-12-13T01:48:28.275458Z
,72.7,0,smart_art_1,19,2025-12-13T01:53:28.26924Z
